VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
Ve2u-FIEzgY,0.25,15.81,0.03,20.38,0.09,0.0,7.33,10.02,46.09,0,1672571,33968,528,THE K-POP,0.0008360487566122491
VFSAR-D2WCE,0.09,0.67,3.26,16.47,1.22,0.0,23.07,17.47,37.75,1,189031,9825,539,Yoshi the Japanese Guy,0.0002458966931212497
vFTVwADvGKY,1.55,1.96,0.0,25.39,1.72,0.0,8.93,11.41,49.04,1,19643,1057,100,Adam and Jane's Lifestyle,8.708841214710928e-05
vge15YEaLbk,0.1,0.09,0.0,27.57,0.59,0.0,19.82,21.36,30.47,7,5657,88,33,Jay Cee Max,0.0006967072971768742
vgHfpMFRDnA,0.1,2.61,0.0,25.13,0.0,0.0,7.25,25.82,39.09,2,46990,2959,120,8 Miles from Home,0.00046447153145124943
vGj44tTlVIs,0.0,0.03,0.0,24.56,0.02,0.0,23.16,39.29,12.94,2,316,47,34,wena bellevieTv,0.0013934145943537484
VGoWRsoQyr4,0.02,1.06,0.01,27.76,3.39,0.0,20.1,10.2,37.46,7,305101,10459,554,Waleska Herrera,2.7501603835929242e-05
vgPFgIilI9A,0.07,6.2,5.18,17.1,0.0,0.0,33.03,5.28,33.14,1,145730,4605,427,Waleska Herrera,2.7501603835929242e-05
VI3ikxCDGms,0.48,3.28,0.0,23.36,1.87,0.01,15.98,3.92,51.1,1,35863,1707,124,Field of Visions,0.0013934145943537484
VIBpeTBlF4c,0.0,4.57,0.09,5.06,0.11,0.0,52.33,2.97,34.87,6,5074806,68731,3738,Mark Wiens,0.00041802437830612457
ViKahoBCRcw,0.15,1.26,0.0,17.46,4.24,0.0,24.82,10.89,41.18,1,600,29,11,Dian Feb,0.0010450609457653113
vJs4hZVbcEs,0.38,4.17,6.99,29.5,0.0,0.0,27.04,12.59,19.33,7,322333,0,848,Mia Sandoval,0.0001492944208236159
