Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
YtZKFFtX-G0,Best Place PHILIPPINES,4,-0.47501796,1.2713892
ricDgJt5sCQ,?,4,-1.5899372,1.7090701
nM8VDXb7Qog,I came here for Korean foods lang.. The stupidest Korean tourist in the Philippines,4,-0.7035855,1.6920013
DFX3IvmoO18,Sarah G wins Best Asian Artist at K-pop awards,4,-2.0188498,1.547595
ZXJ1Ebsux4g,14 Reasons the Philippines Is Different from the Rest of the World,4,-0.9078553,2.3600786
vpGYmk0kg1E,Corned Beef Filipino Style,4,-1.466664,2.8932743
LNtFTq32huA,Filipino Cruisine French Reacts!,4,-0.8972803,3.787611
N7x3UtdMxE4,Miss Universe 2018 OMG!! WOW!! Catriona Gray,4,-0.53424555,1.9767245
H9yhYBQYqh8,Philippines Travel Review 100% HONEST Passport Stolen?? Pickpocket??,4,-0.37020364,2.9677858
1HEOo6a91yY,CEBU,4,-1.6646475,1.5023874
ix3pRU76vIc,Petite Casoy Cashew Macaroons,4,-2.3826883,1.8211867
3GfHcEvWfIo,rate yourself 1 to 10,4,-0.76893914,2.4945476
9BH-FsQS_Y8,Working in Malaysia AS A LOCAL AS AN EXPAT,4,-0.61996233,0.6175565
MRQ7_4CsCBk,Voltes V Legacy Reaction I'm Japanese,4,-0.9340167,1.2988316
Wb74SmzO0Hg,When your trying to be nice When people solicit you,4,-0.22222272,2.0056665
bDhhBLga2I0,Lumpia Shanghai,4,-2.134503,2.5887682
CksMrhlgIc0,Philippines Best of Bohol,4,-2.4046614,2.5186822
BD2RRl7wPMw,VS,4,-1.2801331,1.2315885
tovnfQwtros,GILAS PILIPINAS Philippines vs. China FIBA,4,-1.3643243,1.9106987
cHc0025eF_4,Level Up 137,4,-0.9235571,2.131885
jAi_grkVCFY,Japanese Reaction Wow!,4,-0.6499874,2.7213414
xkNjdS5myEk,Pinoy! CALAMANSI,4,-0.23979466,3.357475
hXSxTOWc_Lk,Filipinos Who Made Pinoys Proud 4,4,-0.86978066,3.6197708
dyzpn_ggo3g,"Must Try Pork SISIG, BIBINGKA & Many More AMAZING Street Food Tour Around DAU, PAMPANGA",4,-0.97778296,0.9938468
YK8hGMfNgzE,EXPECTATION vs REALITY Of having a foreigner boyfriend or husband,4,-0.14224076,0.70646954
6VBPJGD2d7w,Australian Asians Eats Duck Embryo Balut Challenge,4,-1.3967386,3.241662
GNlbItng_RE,Kutsinta Sticky Cake w Grated Coconut,4,-2.7031121,0.86935234
xW4FXlf7JlQ,This is Philippines Province Life culture shock!,4,-0.36179158,2.8561544
Y2VvAiXtP_Y,Monggo Mung Bean Stew w Chicharon,4,-2.2909079,1.7924304
l3050mDF35E,Philippines Most Insane Mall BCC Manila,4,-1.2469907,2.9979787
2shoun41cW0,Champorado w Nutella,4,-2.4616935,1.8262612
7OnrK3EmFa4,"3, 2, 1... Jollibee Story Time!",4,-0.88964033,2.655812
