VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster
4l2eIDF9HZA.jpg,3.11,10.8,0.0,24.08,0.0,0.0,13.11,12.61,36.29,0
4OiOwDh5lKE.jpg,0.03,0.13,0.0,35.32,19.22,1.67,6.01,20.14,17.48,3
4OSt6WQ2K8A.jpg,1.41,3.68,0.34,20.06,15.97,0.06,11.54,28.37,18.57,3
4OTAXBjCb10.jpg,0.0,0.01,0.0,41.51,0.01,0.0,19.75,12.44,26.28,7
4OzEgHVD5PA.jpg,0.0,22.82,1.52,6.28,0.0,0.0,13.01,3.87,52.5,0
4QJa07djrLY.jpg,0.12,0.65,0.0,22.58,0.99,0.0,9.75,5.99,59.92,1
4QMHfDx_LpM.jpg,0.0,0.11,0.0,19.48,0.0,0.0,47.64,16.1,16.67,6
4RRAgEb5r7Q.jpg,0.0,16.78,0.0,2.34,0.0,0.0,17.0,6.34,57.54,0
4SOtYIJpO3w.jpg,0.0,0.35,0.0,23.84,2.4,0.0,34.86,4.57,33.98,1
4TcUHcCj6To.jpg,0.0,3.02,0.0,3.02,0.0,0.0,63.67,15.03,15.26,6
4tDgX4VizyU.jpg,0.0,0.0,0.0,27.03,0.0,0.0,17.71,2.65,52.61,1
4uooe-9JKLI.jpg,2.88,9.57,0.19,21.12,1.13,1.58,19.6,10.77,33.16,0
4WQ17A_DBWs.jpg,0.07,0.2,0.0,17.9,1.08,0.35,18.54,8.22,53.64,1
4wY_xiZrl1I.jpg,0.04,2.21,0.0,26.09,1.78,0.0,10.15,22.72,37.01,7
4YxAhOFHLxs.jpg,6.27,28.31,0.84,7.01,1.83,3.34,15.11,5.22,32.07,0
4ZlCwZj90Jk.jpg,0.05,5.51,0.18,13.23,2.55,10.53,17.16,18.97,31.82,5
4zzhCbQE5iQ.jpg,0.07,3.49,0.0,18.32,0.0,0.09,4.97,2.62,70.44,1
5-9kuktuMAY.jpg,0.15,2.22,0.0,21.33,0.0,0.07,26.77,18.0,31.46,7
5-DQpJj2j9s.jpg,0.09,3.64,1.69,16.18,10.57,0.0,14.78,32.08,20.97,2
5-nceCopalU.jpg,4.35,2.95,0.0,16.5,17.84,7.32,20.64,11.57,18.83,5
50pNiKZZwUM.jpg,0.01,2.43,0.52,8.12,5.82,0.71,21.53,6.81,54.05,1
51WJrV0aKPs.jpg,0.0,2.56,0.0,30.11,0.92,0.0,13.06,4.74,48.61,1
53xojRfttn8.jpg,0.8,5.58,0.0,12.58,0.0,0.0,25.64,8.59,46.81,1
543Un3Rjabg.jpg,0.0,0.92,0.0,22.88,3.85,0.0,17.43,5.75,49.17,1
56_MEV8ClLg.jpg,0.19,2.69,0.0,15.53,3.2,0.0,17.65,4.51,56.23,1
57TY0y5zpe0.jpg,1.93,5.56,0.33,24.34,0.33,0.0,17.97,2.73,46.81,1
58UzixzNCh4.jpg,0.0,0.14,0.0,6.46,13.51,0.0,37.15,9.17,33.57,6
59ruWusoMsY.jpg,0.0,0.0,0.0,5.23,0.0,0.07,53.11,4.84,36.75,6
5ABdJMdZX_s.jpg,0.0,5.24,0.0,8.08,1.38,0.05,38.17,4.18,42.9,1
5AxdLyBlvhw.jpg,0.08,0.76,0.0,26.34,12.58,0.0,32.69,8.14,19.41,7
5bnWQLbGuKc.jpg,0.01,0.98,0.0,9.34,5.79,20.39,26.05,1.45,35.99,5
5coE3hlNJ3I.jpg,7.79,4.33,0.19,5.42,1.22,0.32,48.27,2.59,29.87,8
5d7EYahP4Bg.jpg,0.0,0.35,0.31,7.7,0.6,0.01,45.88,2.14,43.01,6
5dOG_pW1mk8.jpg,0.07,16.74,0.0,20.63,0.0,0.03,10.47,17.27,34.79,0
5eoPZMtIUBw.jpg,0.84,1.31,0.8,9.02,0.56,1.75,18.31,3.4,64.01,1
