Video ID,View Count,Like Count,Comment Count
jNHmcg_IT90,8889,531,63
EjD6iJPnAHs,7946,980,172
UwZVoJgKFuw,866,41,10
-GuEATfLjeM,2677,79,22
L-mBbGTkGbc,780,33,6
Q5WB4Jxlx_o,7263,231,0
DzZ5fs7oYjw,10728,427,21
vUqRQq0-RaI,714,24,8
QBBPvFPhy0w,8518,326,52
SPI4evAQXxQ,17397,706,53
1FxKKybpK1k,991,43,24
dskAZ3jtF5k,3489,164,35
KFCD-SAdPUc,2297,99,15
-qakO1MkWK0,5984,355,57
6O4wMWmWXK4,34971,917,707
ZGW3TZfKdB0,6017,386,37
cu0OFwSeCjw,4775,294,34
R6lFdNueJKI,3781,212,44
EtIg_f1ge9U,2029,122,5
TRlJ6mDhRgY,2594,156,21
Ri0PaDF5xQA,15104,698,94
Sl3YbjxgbTM,4125,196,20
r28GmB0Igdk,2125,111,17
dsVPDC7TVd8,5850,256,29
sA2Gdpfax8I,22284,805,78
qt5lLsIcvd8,5747,304,24
5y8dmtkJ_Ew,15988,452,87
gQ3neTh_28U,30681,1001,167
GxzuHLXh1L4,2799,170,18
h8kbdM4QZIM,10491,505,32
9x-dH4FrWwM,19209,606,60
TR8FFsVsvT8,2001,104,9
oh5CZIL-Hc4,485,33,12
hjap2QPojBY,5665,425,40
Xfx7OFoGS6Q,21552,790,110
ybLZ1Ga_mnA,4384,289,19
6c0q2Q5-lwg,10492,374,31
-fxidgHDRK8,6148,176,59
Lm8i1FlXlac,2355,54,4
xgzlLqjUS5E,4452,178,16
