Video ID,View Count,Like Count,Comment Count
8GrS-ehuhAg,2742,69,6
pbIW5irIweY,13993,389,18
ifF9nRfJyfM,12295,700,31
Bm0ONlju0JA,30172,2486,149
aPrL4D5Qvcs,560,29,7
LmBtqFkvIn0,5285414,73907,0
u4GsXRzTqf8,8672762,37485,0
-grZlXvn1Pg,4455652,25959,2043
TFwLNJXr3Qw,4856095,39751,2474
Bh56fa71kZQ,522471,5748,3400
nC06l5PU9BI,200035,2452,979
a2ntsO3U_-s,318579,812,0
yySPUbGvuKI,223853,2664,1062
lvFBrGUdyaI,258762,1981,1762
C832X6m5zbE,297659,2934,1935
rwevXW9igSA,315097,2103,594
SOcArtrkU-M,68291,657,227
lQWc-_bBWQc,11782,175,26
cRW4_eln700,128569,641,82
-PWWlF1Tyhs,18425,322,21
71vbGDzUtE4,2719,119,32
yhSk2Emu0F4,3571,136,30
GT_2bChoG3c,2983,75,31
wL69t5dcXHw,2152,55,19
KIxZ9pydH_M,3561,72,26
GbxzuBlOIhk,895,28,7
n8kI-sklJaw,275,10,4
WcLwIo4SgQM,543,25,14
DmCxcW44Odw,1914,48,12
J-uXOHvMCjc,5409,184,21
-dCe-0gUmwA,2378,66,7
Ar-2ucNcbZk,705,21,6
divtfxDNKag,310,15,10
jj2v1O6bKBU,855,25,53
mx5IDzlaE2I,185,18,18
Q5Z57lCfY70,282,15,1
hhHE_jUoHtE,2419,76,158
4GI_myydWvY,796,32,12
4XQi4guk5vg,269,9,24
17RwVh-p-jU,265,24,25
DFW104k-aYg,10338,153,40
Q2NM_jPN_SM,4724,104,8
nWesMTeXbAc,3662,81,15
f-kHxnTwP6I,862,27,47
4Q93z9-paKs,3366,83,87
7AJjvS48pOk,1515,56,17
BwQAGB_dinM,3052,68,5
f0ZgJQbzjAA,213,10,10
WLtn_zjCwLA,20598,104,85
6sKcV0Y02i8,224,17,4
CeoIf8m9knQ,2524,53,14
_usRIH-5sew,12714,208,77
GtBth3A_C9A,89095,346,0
86gs985X5tU,1468,27,0
2qqc_Mx3zuI,1566,22,0
sD_UK3FUGxY,7408,3,0
QVp3nt5oZk0,4719,30,2
HTg90NxwzAA,2280,10,0
yAqGMfTYWZQ,119,1,0
NLq4Ng3O7zw,3033,56,2
PHa0gPT57cs,6255,33,2
LaBK5S-Xt8c,2892,15,7
JXig-kXgJ9o,4756,33,2
u3HPh6BWB5k,50684,419,21
SjmXYUHEoQU,6466,96,4
4xY1Lhe-8u4,366,3,1
3E7o3l_k01w,665,16,30
f-RqI_1OvL8,238,14,20
bKMT8uGQYs4,702,49,8
KZiETX7u3qg,1987,52,16
ra_15OTf8uQ,138,3,6
FXNWsQQwDA0,1469,38,10
G_Q0Jjov0lw,893,22,20
8b-XmxFurWA,197,8,19
ZBtVDKxaaCo,26651,436,58
Fmkdv1VjvrQ,112,15,20
iEoZ5KitYDg,3127,77,11
V9LgfkmAhBI,257,10,16
NOJJaHOV7dQ,1211,24,4
JsEPnwjmMpU,293,7,30
nCelrgdKmj0,525,32,7
D6is244F6XI,1068,20,10
uKySDFpH-xU,1097,82,17
QzajrwRMr0Y,1782,179,53
FMAEkQn8208,13127,384,33
33Q14vlsZqo,1575,45,14
WvVhevrB8kg,786,19,6
CgYpx0eCBFY,1949,82,7
l0ax7uKaDh0,476,19,2
PM6vFN-SFpU,11461,216,51
