Video Id,Channel Id
2TkGKRUcH9M,UCEk1OaMTpc0qq1WyDRQFhQw
2TmagN6RhkI,UCbfLaTfmCeR2aykiRSGBbTQ
2Y5LjRWFfkk,UCfNyiuA08MVpit8dsdZhxQw
2cSj4R5OqN0,UCbfLaTfmCeR2aykiRSGBbTQ
2cXlM4qr8Lw,UCb8sNZ__4nIeXo7CLVIdsMw
2cj-ZOqXn0s,UC1712XEXMIRQW1-spPVK0Ng
2e1ryHgn6ag,UCu2VsQol474IboUn1DHIoqA
2ftG8JuMzz4,UCCz0biXWeNqw1zkVLs_I40A
2g3Gu9cA_AU,UCi9mzS8H-ez_30w5SCL2dmw
2g63ty8ySoM,UC5D3ztXVDZOUB8Gp7XPsuPA
2gDO3w-Zv5Q,UCLmnb38gWWR2E9h6hP4nBUA
2iPplpNHjTQ,UC2-_WWPT_124iN6jiym4fOw
2j2xM_D4mFc,UCBhnGs1nD_ixIGWkJUYkfRQ
2j_1TomiT9Q,UC_kaCfiQ_WIpXPuP-KWLYCg
2l94S4_jMTY,UCzjxQJtI4GqGaBwFagqv1AQ
2lXdrSXl9Io,UCxBWeubuZrc8sQE_bXytgUQ
2n67uXYSG5c,UCmJLkX-7JLWZAf3o2In6Srg
2nb7W-iphsk,UCPAz3hWHiBC-c1x4K0-atsg
2ncOVB0wTtc,UC40tCi6qlNr-WS37JQSrSUQ
2pGWzr7QXtU,UCuVIXN1cZ0npFwHp2-SxDSg
2qgmxrekr0g,UColnnUYyz7CWjhzpF1kASnw
2qqc_Mx3zuI,UCleKsM8arVjfE1GIaklqGRw
2sZQWjSUx74,UCryJ4vhASeu7uhXRPOL3WhA
2sZh5FtJRb8,UCRrUJKpFAGgA9WVjSWhgk2Q
2sb7GzhpLBQ,UCFjh6CdEwrQrKf4o9QUnoEA
2shoun41cW0,UCl4I_ztLWgW8ybm9M0n1pyg
2v29gYhPgkI,UC211QaCtk9p37_-cvtN3kxg
2w5fiRkBUIw,UCWk9ho4wXA43KZvxE58WSXg
2w7MEv0-yMs,UCQQyW9Ki62OmGzHedws7xlQ
2xCg-XC_H2g,UCMWTQE8CQv5outBblPqa8tg
